rot_diff,rmsd
2.45726,4.72731
2.94498,5.68558
3.45527,6.60892
3.93281,7.48725
4.3631,8.31224
4.73308,9.07663
5.03152,9.77401
5.24937,10.3987
5.38,10.9456
5.41947,11.4105
5.41136,11.7895
5.35155,12.0799
5.20142,12.2793
4.96552,12.3861
4.73175,12.3995
5.03054,12.3194
5.24877,12.1465
5.37981,11.882
5.4197,11.5281
5.41183,11.0875
5.35243,10.5637
5.2027,9.96083
4.96719,9.28375
4.65303,8.53795
4.26978,7.72964
3.82905,6.86581
3.34423,5.95445
2.83004,5.00501
2.34651,4.0298
1.9047,3.04802
1.47721,2.10104
1.07702,1.32634
0.789922,1.18552
0.788321,1.53515
1.23437,2.41603
1.70946,3.39028
2.19915,4.3767
2.68859,5.34687
3.16292,6.28556
3.60774,7.18205
4.00955,8.02766
4.35615,8.81488
4.69372,9.53708
4.95888,10.1883
5.14001,10.7634
5.23162,11.2578
5.23092,11.6675
5.13793,11.9894
4.95548,12.2208
4.68911,12.3602
4.35491,12.4062
4.69273,12.3587
4.95825,12.2179
5.13979,11.985
5.23181,11.6617
5.23153,11.2506
5.13896,10.755
4.95691,10.1787
4.6909,9.52624
4.34901,8.80297
3.99816,8.01477
3.59619,7.16831
3.15157,6.27108
2.6778,5.3318
2.18926,4.36124
1.70078,3.37474
1.22718,2.40107
0.782843,1.52314
0.382149,1.07604
1.47868,2.1574
1.88987,2.59928
2.32208,3.30921
2.76219,4.13654
3.19683,5.00494
3.61282,5.87583
4.06574,6.7269
4.53705,7.54329
4.94902,8.31396
5.28914,9.03009
5.54709,9.6843
5.71503,10.2703
5.78788,10.7829
5.76342,11.2174
5.64239,11.5701
5.49628,11.838
5.32554,12.0189
5.07153,12.1113
5.28816,12.1144
5.54651,12.0281
5.71488,11.8532
5.78817,11.5912
5.76415,11.2442
5.64356,10.8153
5.49746,10.308
5.32712,9.72681
5.07347,9.0771
4.74421,8.36501
4.34934,7.59782
3.90084,6.78425
3.41233,5.93514
2.89863,5.06502
2.37534,4.19547
1.92497,3.36349
1.55957,2.64171
1.22523,2.1749
1.76388,2.02921
2.12418,2.26736
2.50428,2.88404
2.89265,3.68125
3.32441,4.54793
3.85536,5.43116
4.35355,6.30283
4.80387,7.14545
5.19265,7.94664
5.50809,8.69675
5.74061,9.38785
5.88315,10.0132
5.93139,10.5671
5.93024,11.0446
5.94971,11.4415
5.87287,11.7546
5.70202,11.9811
5.44238,12.1193
5.50723,12.1679
5.74015,12.1266
5.88311,11.9958
5.93179,11.7763
5.93053,11.4703
5.95045,11.08
5.87403,10.609
5.70361,10.0612
5.44436,9.44145
5.10414,8.75548
4.69328,8.00991
4.22426,7.21255
3.7113,6.3729
3.21487,5.50304
2.82299,4.6199
2.4297,3.75037
2.04696,2.94442
1.68638,2.30661
2.09671,2.02299
2.3815,2.02509
2.70544,2.51256
3.10984,3.26515
3.63953,4.12477
4.14911,5.01774
4.6231,5.90807
5.04712,6.77505
5.4083,7.60474
5.69567,8.3866
5.90052,9.11215
6.01662,9.7742
6.11195,10.3666
6.24216,10.8841
6.27326,11.3223
6.2043,11.6773
6.03737,11.9464
5.77754,12.1271
5.71865,12.2181
5.90018,12.2186
6.0167,12.1285
6.11173,11.9487
6.24239,11.6806
6.27395,11.3265
6.20544,10.8892
6.03895,10.3725
5.77953,9.78082
5.43506,9.11948
5.01598,8.39457
4.53503,7.61325
4.07646,6.78403
3.71641,5.91737
3.33392,5.02719
2.94061,4.1341
2.54842,3.27384
